polariz, polaris
analyz, analys
localiz, localis
optimiz, optimis
realiz, realis
hybridiz, hybridis
normaliz, normalis
maximiz, maximis
minimiz, minimis
organiz, organis
magnetiz, magnetis
utiliz, utilis
generaliz, generalis
characteriz, characteris
parametriz, parametris
stabiliz, stabilis
emphasiz, emphasis
synthesiz, synthesis
miniaturiz, miniaturis
coloriz, colouris
color, colour
tuneling, tunelling
center, centre
flavor, flavour
neighbor, neighbour
behavior, behaviour
fiber, fibre

ass(?=\s), arse
centreed, centred
